Bangkok,35024,49191,275577
SamutPrakan,26193,29575,207741
Nonthaburi,26947,30664,260752
PathumThani,29514,33461,386957
PhraNakhonSiAyutthaya,20494,26482,106260
AngThong,21183,28641,212498
LopBuri,15945,23426,97449
SingBuri,22118,28115,151450
ChaiNat,17767,32754,264144
Saraburi,22765,32834,248741
ChonBuri,24934,28367,159084
Rayong,21873,30401,171432
Chanthaburi,17597,27284,110504
Trat,16706,21653,147139
Chachoengsao,26071,34548,217298
PrachinBuri,18315,21039,110519
NakhonNayok,17697,23391,134040
SaKaeo,18571,24805,166090
Ratchaburi,17253,25742,192593
Kanchanaburi,17301,18746,105780
SuphanBuri,13450,17260,36593
NakhonPathom,21305,30856,175894
SamutSakhon,18565,23658,56367
SamutSongkhram,16558,16257,9857
Phetchaburi,18469,21784,109519
PrachuapKhiriKhan,22393,28459,222219
ChiangMai,11704,14393,39182
Lamphun,20381,22505,188174
Lampang,15102,19262,174046
Uttaradit,13550,21344,125871
Phrae,15479,19418,149357
Nan,14078,17598,188161
Phayao,11245,15491,80663
ChiangRai,11068,13510,44956
MaeHongSon,7405,8821,38341
NakhonSawan,14268,24158,232771
UthaiThani,13083,20150,219238
KamphaengPhet,16360,22083,178672
Tak,13149,17020,120246
Sukhothai,15312,24121,176298
Phitsanulok,19928,27490,224876
Phichit,14791,21664,208219
Phetchabun,13789,19918,103320
NakhonRatchasima,15618,22479,170703
BuriRam,14343,15624,117814
Surin,18584,21351,187498
SiSaKet,13368,16207,191057
UbonRatchathani,13587,22344,166222
Yasothon,12549,14418,63643
Chaiyaphum,15022,18641,164135
AmnatCharoen,14162,17273,134560
Bungkan,20283,20207,69432
NongBuaLamPhu,13664,15390,96118
KhonKaen,13915,18095,79850
UdonThani,21439,25966,167665
Loei,14916,16338,103670
NongKhai,15670,18058,80636
MahaSarakham,15506,21644,194195
RoiEt,15348,20505,244163
Kalasin,12445,13921,124725
SakonNakhon,13021,16854,157855
NakhonPhanom,11447,14310,90411
Mukdahan,13146,16494,123125
NakhonSiThammarat,19364,27479,123678
Krabi,20836,27276,168946
Phangnga,17900,26168,123376
Phuket,25338,31857,91904
SuratThani,28119,36865,198998
Ranong,22587,32292,180869
Chumphon,22552,27540,197459
Songkhla,21670,26824,161526
Satun,22715,25400,155314
Trang,20922,33270,160207
Phattalung,16636,26169,162249
Pattani,16668,20199,109103
Yala,12522,22483,35829
Narathiwat,13728,16773,44974
